"Pre-load",0.1,"N"
"Speed, flexure modulus",20,"mm/min"
"Test speed",20,"mm/min"
"Deformation","Standard force"
"mm","N"
0,0.118197
1.47279e-006,0.112197
6.58881e-007,0.11638
0.000157448,0.114828
0.0013765,0.136379
0.00270659,0.167585
0.00385037,0.193265
0.0051703,0.22423
0.00670385,0.259419
0.00843879,0.302237
0.0103601,0.338692
0.0114039,0.360309
0.0124824,0.387732
0.0136166,0.421103
0.0148095,0.450717
0.0160489,0.482557
0.0173397,0.516721
0.0186751,0.552867
0.0200663,0.589713
0.0214998,0.630149
0.0229836,0.671009
0.0245223,0.711372
0.0261105,0.748957
0.027756,0.787468
0.029439,0.831758
0.0311845,0.877106
0.0329812,0.917323
0.0348129,0.953696
0.0366984,0.9914
0.0386374,1.03231
0.0406275,1.076
0.0426654,1.12318
0.044749,1.17149
0.0468872,1.22378
0.0490746,1.27262
0.0513133,1.32248
0.0536023,1.37867
0.0559448,1.4325
0.0583279,1.49432
0.0607578,1.55763
0.0632446,1.6205
0.0657867,1.67983
0.0683629,1.743
0.0709991,1.80359
0.0737126,1.86855
0.0764407,1.93217
0.0792152,1.99795
0.082063,2.06892
0.084929,2.13533
0.0878518,2.2094
0.0908526,2.28493
0.0938967,2.3642
0.0969921,2.446
0.100131,2.52686
0.103314,2.60473
0.106569,2.68861
0.109835,2.7702
0.11314,2.85741
0.11646,2.94856
0.119792,3.03405
0.123127,3.11809
0.126449,3.20326
0.12977,3.28821
0.133113,3.36871
0.136466,3.45551
0.139803,3.54145
0.143118,3.62942
0.146449,3.70909
0.149774,3.78504
0.15311,3.86771
0.156456,3.95576
0.159791,4.0426
0.163109,4.12584
0.166446,4.21155
0.169796,4.29231
0.173106,4.37548
0.17643,4.45562
0.179755,4.54294
0.183094,4.63383
0.186439,4.71794
0.189759,4.79691
0.19309,4.8796
0.19642,4.96515
0.199766,5.05155
0.203113,5.13763
0.206432,5.22169
0.209774,5.31082
0.213093,5.39718
0.216439,5.47992
0.21979,5.56814
0.223116,5.65982
0.22645,5.74481
0.229772,5.82888
0.233121,5.91031
0.236451,5.9926
0.239769,6.07926
0.243108,6.16438
0.246438,6.25047
0.249779,6.3392
0.253116,6.42457
0.256438,6.50947
0.259774,6.60103
0.263121,6.69031
0.266459,6.77778
0.269773,6.86923
0.273095,6.95302
0.276417,7.03785
0.27975,7.12303
0.283101,7.20884
0.286439,7.2923
0.289759,7.37583
0.293081,7.46102
0.296437,7.54809
0.299765,7.63767
0.303085,7.72436
0.306407,7.81452
0.309749,7.89956
0.313115,7.98723
0.316443,8.0755
0.319767,8.16697
0.323104,8.25837
0.326454,8.34412
0.329801,8.43031
0.333114,8.5192
0.336445,8.60849
0.339771,8.69741
0.343122,8.79235
0.346469,8.88127
0.349794,8.96597
0.353126,9.05323
0.35645,9.13911
0.359798,9.22465
0.363121,9.31159
0.366436,9.39429
0.369768,9.47429
0.37309,9.55475
0.376431,9.63212
0.379767,9.71517
0.383088,9.80101
0.386417,9.8823
0.389761,9.96499
0.393115,10.0477
0.396434,10.1301
0.399754,10.2183
0.403077,10.3142
0.406418,10.4082
0.40977,10.4956
0.413113,10.5808
0.416453,10.6681
0.419781,10.7616
0.423122,10.8526
0.426443,10.9409
0.429762,11.0321
0.433097,11.1176
0.436426,11.199
0.439763,11.2825
0.443106,11.3725
0.44644,11.458
0.449768,11.5369
0.453111,11.6159
0.45647,11.6992
0.459783,11.7883
0.463112,11.8703
0.466437,11.9563
0.469773,12.0384
0.473122,12.1207
0.47645,12.2012
0.479783,12.2877
0.483106,12.3758
0.486448,12.459
0.489779,12.5443
0.493082,12.6253
0.496418,12.7136
0.49975,12.799
0.503087,12.8905
0.506423,12.984
0.509754,13.0724
0.513088,13.1576
0.51644,13.2446
0.519795,13.3361
0.523112,13.4246
0.526433,13.5187
0.529764,13.6033
0.533096,13.6924
0.536449,13.7801
0.539791,13.8631
0.543126,13.9471
0.546452,14.0304
0.549803,14.1186
0.553136,14.2013
0.556456,14.2888
0.559781,14.3712
0.563107,14.459
0.566448,14.5472
0.569775,14.6291
0.573103,14.7139
0.576428,14.8023
0.579759,14.8926
0.583112,14.9834
0.586427,15.0724
0.58976,15.1589
0.593075,15.2471
0.5964,15.3362
0.599756,15.4239
0.60309,15.5141
0.606435,15.6025
0.609767,15.6871
0.613108,15.7748
0.616451,15.8586
0.619769,15.9477
0.623102,16.0355
0.626441,16.1296
0.629782,16.2216
0.633108,16.3104
0.636425,16.3965
0.639764,16.4866
0.643117,16.5831
0.64646,16.6781
0.649779,16.7727
0.653108,16.8615
0.65643,16.9512
0.659766,17.0382
0.663114,17.1238
0.666455,17.2117
0.669784,17.3106
0.67311,17.4026
0.676464,17.4925
0.679795,17.5802
0.683106,17.6693
0.686431,17.7592
0.68976,17.8497
0.693111,17.9398
0.696431,18.0334
0.699753,18.1261
0.703085,18.2116
0.706418,18.303
0.709773,18.3996
0.713099,18.496
0.716431,18.5878
0.719758,18.6797
0.723085,18.7774
0.726446,18.8768
0.729781,18.9735
0.733115,19.0678
0.736449,19.1649
0.739786,19.2583
0.743132,19.3497
0.746452,19.4401
0.749784,19.5364
0.753118,19.6371
0.756452,19.7295
0.759792,19.8202
0.763114,19.9142
0.766442,20.0118
0.769777,20.1049
0.773117,20.1996
0.77644,20.29
0.779757,20.3791
0.783082,20.4633
0.786409,20.5497
0.78975,20.6336
0.793096,20.7252
0.796427,20.8166
0.799749,20.9034
0.803093,20.9944
0.806442,21.0834
0.809764,21.1758
0.813085,21.2711
0.816413,21.3694
0.819781,21.4646
0.823126,21.5654
0.826439,21.6568
0.829772,21.7478
0.833111,21.84
0.836463,21.9379
0.839784,22.0365
0.843107,22.1324
0.846432,22.2306
0.849771,22.3304
0.853125,22.4285
0.856454,22.5221
0.859784,22.6165
0.863118,22.7139
0.866452,22.8087
0.869795,22.9017
0.873106,22.9935
0.876435,23.0873
